year,race,gestational_age_group,births,deaths,mortality_rate,birth_proportion
2010,Non-Hispanic Black,34-36 weeks,64570,545,8.4404522223943,0.11013847051318353
2010,Non-Hispanic Black,37-38 weeks,169780,694,4.087642831900106,0.2895974837188834
2010,Non-Hispanic Black,39-41 weeks,289324,875,3.024291106164715,0.4935063162886218
2010,Non-Hispanic Black,42+ weeks,29093,109,3.746605712714399,0.049624570584482705
2010,Non-Hispanic White,<28 weeks,10962,4317,393.81499726327314,0.005086940179031337
2010,Non-Hispanic White,28-31 weeks,19022,819,43.055409525812216,0.008827200883555382
2010,Non-Hispanic White,32-33 weeks,27865,487,17.477121837430467,0.012930814458010236
2010,Non-Hispanic White,34-36 weeks,168849,1159,6.864121197045881,0.07835474934220601
2010,Non-Hispanic White,37-38 weeks,556929,1647,2.95728899015853,0.25844412579526943
2010,Non-Hispanic White,39-41 weeks,1249164,2170,1.7371618138210836,0.5796772981024906
2010,Non-Hispanic White,42+ weeks,122139,321,2.62815316974922,0.05667887123943701
2011,Non-Hispanic Black,<28 weeks,9276,3586,386.58904700301855,0.016020033677302363
2011,Non-Hispanic Black,28-31 weeks,10494,484,46.12159329140461,0.018123569794050342
2011,Non-Hispanic Black,32-33 weeks,12862,228,17.72663660394962,0.022213203229566946
2011,Non-Hispanic Black,34-36 weeks,62275,503,8.077077478924126,0.10755148741418764
2011,Non-Hispanic Black,37-38 weeks,163017,707,4.336970990755566,0.28153706662061223
2011,Non-Hispanic Black,39-41 weeks,291421,857,2.9407626766773842,0.5032960580285826
2011,Non-Hispanic Black,42+ weeks,29680,111,3.7398921832884096,0.05125858123569794
2011,Non-Hispanic White,<28 weeks,10454,4111,393.2466041706524,0.004888212646134366
2011,Non-Hispanic White,28-31 weeks,18616,884,47.48603351955307,0.008704703139509981
2011,Non-Hispanic White,32-33 weeks,27291,437,16.012604888058334,0.012761068617338145
2011,Non-Hispanic White,34-36 weeks,162811,1138,6.9896997131643435,0.07612921265829177
2011,Non-Hispanic White,37-38 weeks,528522,1474,2.7889094493701303,0.24713295620434544
2011,Non-Hispanic White,39-41 weeks,1268058,2262,1.7838300771731261,0.5929344893468387
2011,Non-Hispanic White,42+ weeks,122862,287,2.335954159951816,0.05744935738754165
2012,Non-Hispanic Black,<28 weeks,9140,3486,381.4004376367615,0.01575921845311374
2012,Non-Hispanic Black,28-31 weeks,10334,458,44.31972130830269,0.017817917231343256
2012,Non-Hispanic Black,32-33 weeks,12540,210,16.74641148325359,0.0216215097814055
2012,Non-Hispanic Black,34-36 weeks,61498,468,7.610003577352109,0.10603505650214319
2012,Non-Hispanic Black,37-38 weeks,159003,718,4.5156380697219545,0.274153502374228
2012,Non-Hispanic Black,39-41 weeks,297429,879,2.9553271537072714,0.5128280727889678
2012,Non-Hispanic Black,42+ weeks,30034,113,3.762402610374908,0.05178472286879847
2012,Non-Hispanic White,<28 weeks,10595,4151,391.78857951864086,0.004981924946207436
2012,Non-Hispanic White,28-31 weeks,18270,820,44.882320744389716,0.008590822913375163
2012,Non-Hispanic White,32-33 weeks,26425,449,16.991485335856197,0.012425423945590515
2012,Non-Hispanic White,34-36 weeks,158031,1125,7.118856426903583,0.07430850223446034
2012,Non-Hispanic White,37-38 weeks,503078,1466,2.9140610402363056,0.23655468032922553
2012,Non-Hispanic White,39-41 weeks,1286523,2201,1.7108127876454597,0.6049420507380491
2012,Non-Hispanic White,42+ weeks,123766,305,2.4643278444807137,0.05819659489309198
2013,Non-Hispanic Black,<28 weeks,9064,3508,387.0255957634599,0.015606678639133436
2013,Non-Hispanic Black,28-31 weeks,10516,453,43.077215671357926,0.018106777644431513
2013,Non-Hispanic Black,32-33 weeks,12362,189,15.288788221970554,0.021285278170450964
2013,Non-Hispanic Black,34-36 weeks,60283,498,8.261035449463364,0.10379715450164177
2013,Non-Hispanic Black,37-38 weeks,159610,661,4.141344527285258,0.2748214891429929
