year,cause_of_death,composition_effect,rate_effect,gap,composition_lo,composition_hi,rate_lo,rate_hi,gap_lo,gap_hi
2010,Accidental suffocation in bed (W75),0.008378326975578353,0.1644404316820798,0.17281875865765817,0.002440748095766183,0.013908750242389379,0.11370523525933385,0.2119946153535533,0.1212375366927136,0.2200935012869317
2010,Assault (homicide),0.006467751774797784,0.043939498759448116,0.0504072505342459,0.0019414603835095521,0.010569313082152705,0.015357592565975757,0.07291581898868511,0.02126392745674663,0.07969729821375537
2011,Infection,0.35118012377086527,0.13491309507849553,0.4860932188493608,0.3251714007798858,0.3794186436949661,0.07266750480989319,0.19842237150282044,0.4192992260530052,0.5655246962211291
2011,Other,0.9851846622834187,0.1528714452738167,1.1380561075572353,0.9429918979610037,1.0301103815760557,0.047382873572765175,0.2620646314338571,1.0172293910767347,1.259744163394067
2011,Circulatory diseases,0.06820500675334165,0.08452671926359913,0.1527317260169408,0.05680665569637219,0.07910869609353532,0.0446472417582602,0.1262144323125487,0.11020158117167281,0.19493854753368856
2011,Maternal complications,0.5785337052215287,-0.011473908251088131,0.5670597969704405,0.5445966584432248,0.6154874644880436,-0.07795731982625986,0.05417088012119219,0.49024573689124984,0.6497267424860728
2011,Placenta/cord/membranes,0.34168645828322214,-0.04885509734916065,0.2928313609340615,0.3145956113064353,0.3687748076600238,-0.10287392933972933,0.00395205015735206,0.2368403520080789,0.35049110196596023
2011,Short gestation/LBW,1.6131898336730963,0.17559611690694196,1.7887859505800383,1.5536961596526526,1.674188582180537,0.06327004271985855,0.2849130237727818,1.6598328094107304,1.926116804246467
2011,Hypoxia and birth asphyxia,0.0628543712556401,-0.01648964274369964,0.046364728511940456,0.051461489895670516,0.07487149567260784,-0.04333344516346428,0.01131025612075262,0.017329292476998312,0.07536708265069673
2011,Respiratory distress,0.1915810556983899,-0.07756088042200288,0.11402017527638703,0.17141657043524683,0.2118349468390299,-0.11719892835378873,-0.037538844016139564,0.07257042492083392,0.15778027003749853
